Name;Tracks;Scrobbles;Rank;Region
Jess Sah Bi & Peter One;8;27;533;
MY MAMA SAID TO GET THINGS DONE;1;2;4249;
prrrrrrr;1;1;5710;
DJ Shadow;3;3;3488;
Mercedes Sosa;1;1;5711;
Souleance;17;25;581;
The Human League;2;2;4250;
bathing;9;11;1378;
Stanley Cowell Trio;1;4;2951;
Butcher Brown;47;119;88;🇺🇸 US
Martin Waslewski & Ole Biege;1;2;4251;
Mekine U Teksi;10;33;433;
Chris Annibell;1;1;5712;
Alsarah & The Nubatones;2;2;4252;
Loya;4;6;2284;
Nathan Fake;4;10;1516;
Overmono;3;4;2952;
TFGC011;1;1;5713;
Om Buschman;4;18;838;
Sanza;2;7;2021;
Total Art Of Percussion;1;8;1809;
Argile;2;8;1810;
Rüdiger Oppermann's Harp Attack;1;4;2953;
Bob Moses;1;4;2954;
Ralf Nowy;1;4;2955;
Trimopen;1;4;2956;
Kaidi Tatham;16;37;390;
TCP;1;8;1811;
Hunts Determination Band;1;1;5714;
The Daktaris;2;3;3489;
Urubu Marinka & Gama;1;1;5715;
A Macaca with Peace & Rojey;1;2;4253;
Thomash & Osmarino Freitas;1;3;3490;
Jaku Nã;1;1;5716;
Toto Chiavetta;3;3;3491;
DJ Normal 4;1;2;4254;
Marbert Rocel;15;29;493;
Vibe Street;1;1;5717;
Sarah Kreis;1;1;5718;
Tropical Twista Records;2;2;4255;
Gunjah;1;1;5719;
Calico Horse;1;3;3492;
Tempo Di Roma;1;2;4256;
Edit Service 10;1;2;4257;
Crown Ruler Mix #1;1;1;5720;
DJ Normal 4   Bufiman;1;2;4258;
Bufiman   DJ Normal 4;1;1;5721;
Marvin & Guy;1;5;2563;
Cyro Baptista;33;44;326;
Danny White;1;1;5722;
O Terço;1;1;5723;
LateComer;4;9;1643;
Pional;4;8;1812;
Jullian Gomes;2;3;3493;
Loose Joints;3;3;3494;
Baka Pygmies;3;3;3495;
Valentin Stip;13;21;714;
Mrs Jones;2;11;1379;
Nicolas Collins;5;12;1261;
Jonas Hellborg;6;6;2285;
Medeski, Martin and Wood;10;12;1262;
Dam~Ru;1;1;5724;
PREMIERE: Rouge Mécanique;1;1;5725;
Fruit Merchant;1;1;5726;
deucio | 613;1;1;5727;
Dorian Concept;7;8;1813;
Nikosh;6;9;1644;
Vakula;126;467;4;
Dusty Baron;20;26;557;
GUY ONE;3;3;3496;
Bileo;2;10;1517;
Wendo;1;2;4259;
Energy 52;1;3;3497;
Electric Wire Hustle;1;1;5728;
Rhythm;1;1;5729;
Peven Everett;4;9;1645;
Bad Jazz Troupe;1;1;5730;
Rick Poppa Howard;2;2;4260;
Stone;2;5;2564;
Fred P;5;13;1169;
Creative Swing Alliance;1;1;5731;
Geraldo Pino;1;1;5732;
Philippe Sarde;1;1;5733;
Robert Hood;1;1;5734;
Arts;1;1;5735;
