Artist;Name;Scrobbles;Rank
Lagartijeando;El Nogal de las Pampas;1;13384
Lagartijeando;Camino en Llamas;1;13385
Melanie De Biasio;Your Freedom Is the End of Me - Matthew Herbert’s Whole New Dub;2;8226
Joomanji;Where Are You? (Love for JL) [feat. Copasetic & Lindsay Olsen];2;8227
Washed Out;Floating By;19;276
Nadah El Shazly;Palmyra;3;5705
Daymé Arocena;Eleggua;2;8228
Voilaaa;Niarela;1;13386
Sarah Elizabeth Charles;Thinker;1;13387
The Orchestra Soledad;Uptight;1;13388
Nilüfer Yanya;Small Crimes (Bullion Remix);1;13389
OKZHARP;B U;1;13390
E Ruscha V;Who Are You;169;1
Mr. Mitch;Lost Touch;1;13391
K15;Sunbeams;1;13392
Ikebe Shakedown;Out Of The Shadows;1;13393
Kutiman;Dover. D;1;13394
KiNK;Samodiva;1;13395
Boncana Maïga;Koyma Hondo;3;5706
Maajo;Musa Paradisa;17;381
Fatima;Somebody Else;1;13396
Das Komplex;Like A Fish - Original Mix;1;13397
The Mauskovic Dance Band;Down in the Basement;5;3210
Uffe;i can show you high;1;13398
Axel Boman;Paris 2006;1;13399
Axel Boman;Purple Drank;12;818
Axel Boman;Not So Much;4;4187
Locust Toybox;Saptiro;58;32
Makaya McCraven;Butterscotch;3;5707
Big Thief;Masterpiece - (solo);13;718
Photay;Aura;1;13400
Shigeto;There's A Vibe Tonight (ft. Kaleena Zanders);1;13401
Young Fathers;See How;2;8229
Young Fathers;Fee Fi;2;8230
Young Fathers;In My View;2;8231
Young Fathers;Turn;2;8232
Young Fathers;Lord;1;13402
Young Fathers;Tremolo;2;8233
Young Fathers;Wow;2;8234
Young Fathers;Border Girl;2;8235
Young Fathers;Holy Ghost;11;980
Young Fathers;Wire;2;8236
Young Fathers;Toy;5;3211
Young Fathers;Picking You;2;8237
Mano Le Tough;Your Heavy Head;1;13403
Stimming x Lambert;Intro;9;1361
Stimming x Lambert;Morsches Holz;9;1362
Stimming x Lambert;Edelweiss;11;981
Stimming x Lambert;Trauerweide;11;982
Stimming x Lambert;Der Blaue Fels;16;447
Stimming x Lambert;Grande;7;1991
Stimming x Lambert;Outro;6;2512
Ghostpoet;One More Sip;2;8238
Carol Anne McGowan;When The Night Comes Falling;1;13404
E Ruscha V;The Hostess;11;983
Dauwd;Leitmotiv;30;76
Dauwd;Murmure;24;142
Dauwd;Glass Jelly;29;83
Dauwd;Analogische Memories;26;109
Dauwd;Unconscious;25;125
Dauwd;Theory of Colours;17;382
Emanative;Om Supreme;2;8239
Emanative;Hum Allah Hum Allah Hum Allah;2;8240
Emanative;Makondi;2;8241
Emanative;Fire;2;8242
Emanative;Love in Outer Space - Alternate Universe;6;2513
Emanative;As of Yet;6;2514
Emanative;Rocket Number Nine;1;13405
Emanative;Music Is the Healing Force of the Universe;1;13406
STAC;Balls Bounce - Bonobo Remix;2;8243
Rosie Brown;Bliss - Quantic Remix;1;13407
Dele Sosimi;E Go Betta - O'Flynn Edit;1;13408
Paper Tiger;Make It Through - Werkha Remix;1;13409
Black Classical;Running the Voodoo Down;7;1992
Mecca:83;Open;1;13410
Emanative;Evil A.M;3;5708
Hello Skinny;Frais;5;3212
Resonators;Vipers - Emanative Remix;1;13411
Sarathy Korwar;Bhajan;3;5709
Sarathy Korwar;Bismillah;6;2515
Sarathy Korwar;Dreaming;1;13412
Sarathy Korwar;Eyes Closed;1;13413
Sarathy Korwar;Hail;1;13414
Sarathy Korwar;Karam;1;13415
Sarathy Korwar;Lost Parade;1;13416
Sarathy Korwar;Mawra - Transcendence;1;13417
Ghostpoet;Many Moods At Midnight;1;13418
Ghostpoet;Trouble + Me;1;13419
Ghostpoet;(We're) Dominoes;1;13420
Ghostpoet;Freakshow;1;13421
Ghostpoet;Dopamine If I Do;1;13422
Ghostpoet;Live>Leave;1;13423
Ghostpoet;Karoshi;1;13424
Ghostpoet;Blind As A Bat...;1;13425
Ghostpoet;Immigrant Boogie;1;13426
Crazy P;Open For Service - DJ Edit;1;13427
Crazy P;The Unbearable Lightness Of Being;1;13428
Yazz Ahmed;Inhale;2;8244
Yazz Ahmed;Jamil Jamal;2;8245
Yazz Ahmed;Misophonia;2;8246
Yazz Ahmed;The Space Between The Fish and The Moon;2;8247
Yazz Ahmed;La Saboteuse;2;8248
