Artist;Name;Scrobbles;Rank
"Alice Russell";"Tru Thoughts R&B / Soul (Compiled By Robert Luis)";"1";"8206"
"Dabrye";"Three/Three";"44";"224"
"Paper Tiger";"In Other Words";"2";"5752"
"bastien keb";"Allo Love: Volume Six";"1";"8207"
"Dele Sosimi";"You No Fit Touch Am Retouched 2";"2";"5753"
"Black Classical";"Download";"1";"8208"
"Black Classical meets Sarah Webster Fabio";"Black is; Black Soul";"2";"5754"
"Yahoos";"Bottletop Presents Sound Affects Malmaison";"1";"8209"
"Oscar Sulley";"Bottletop Presents Sound Affects Malmaison";"1";"8210"
"Hector Plimmer";"Eastern System";"1";"8211"
"Penya";"Versus II";"2";"5755"
"DAISHO";"Versus II";"1";"8212"
"Collocutor";"Versus ii";"3";"4451"
"Black Classical";"Versus II";"1";"8213"
"Sun Ra";"The Other Side Of The Sun";"1";"8214"
"DJ Sports";"Modern Species";"12";"1239"
"Collocutor";"Versus";"5";"2962"
"Fiium Shaarrk";"Versus";"3";"4452"
"Group As Salaam";"Versus";"1";"8215"
"Makadem";"Versus II";"2";"5756"
"Black Classical";"Versus ii";"4";"3595"
"Sam Jones";"Versus II";"1";"8216"
"DAISHO";"Versus ii";"2";"5757"
"mugwisa international xylophone group";"Versus II";"2";"5758"
"kurup";"Minguante EP";"10";"1526"
"Collocutor";"Black Satin";"4";"3596"
"Collocutor";"The Search";"3";"4453"
"Magnus P.i";"Penya Investigations";"11";"1362"
"Native Cruise";"Youandmusic, Vol. 2";"15";"925"
"Will Lister";"Phantom EP";"1";"8217"
"Will Lister";"Youandmusic, Vol. 2";"6";"2512"
"Rouge Mécanique";"Youandmusic, Vol. 2";"2";"5759"
"LT";"Youandmusic, Vol. 2";"2";"5760"
"Dear earth";"Youandmusic, Vol. 2";"2";"5761"
"Tom Esselle";"Youandmusic, Vol. 1";"8";"1910"
"MSSS";"Youandmusic, Vol. 1";"4";"3597"
"SofaTalk";"Youandmusic, Vol. 1";"3";"4454"
"Rouge Mécanique";"Don't Touch My Sister";"3";"4455"
"Four Tet";"Global-Sets.com";"1";"8218"
"Jessy Lanza";"Pull My Hair Back";"9";"1708"
"The Bones of J.R. Jones";"Spirit's Furnace";"5";"2963"
"Shiny Objects";"The Velvet Slide";"8";"1911"
"Joseph Shabason";"Aytche";"5";"2964"
"Shabazz Palaces";"Shine a Light";"2";"5762"
"PolyNation";"Tikken";"1";"8219"
"Nubya Garcia";"When We Are";"20";"626"
"Hello Skinny";"Hello Skinny";"11";"1363"
"Estrada Orchestra";"Estrada Orchestra";"1";"8220"
"Bicep";"Opal (Four Tet Remix)";"20";"627"
"DJ Nigga Fox";"Poder do Vento";"2";"5763"
"Peggy Gou";"It Makes You Forget (Itgehane)";"1";"8221"
"The Mauskovic Dance Band";"Down in the Basement - EP";"10";"1527"
"Sons of Kemet";"My Queen Is Ada Eastman";"5";"2965"
"Shabaka Hutchings";"We out Here";"1";"8222"
"Jameszoo";"Fool";"3";"4456"
"Evidence";"Weather or Not";"14";"1013"
"Samiyam";"Pizza Party";"1";"8223"
"Blue Lab Beats";"Xover";"15";"926"
"Susso";"Keira";"58";"151"
"Slime";"In the Brick House Mixtape";"1";"8224"
"Collocutor";"Over (feat. Emanative)";"5";"2966"
"Obongjayar";"Bassey";"4";"3598"
"Mo Kolours";"Mo Kolours";"3";"4457"
"Star Slinger";"Hottest Day in New York";"1";"8225"
"The Seshen";"Flames & Figures";"1";"8226"
"Gwenno";"Tir Ha Mor";"5";"2967"
"The Mysterons";"Meandering";"1";"8227"
"Richard Houghten";"Sonata De Grillo";"16";"847"
"Virgil Howe";"Someday";"6";"2513"
"Michael Gordon";"Michael Gordon: Timber Remixed";"2";"5764"
"Cornelius";"Umbrella";"5";"2968"
"Skinshape";"Life & Love";"7";"2172"
"Chassol";"Big Sun";"3";"4458"
"Mr Jukes";"God First";"1";"8228"
"A Macaca";"Soundcloud";"1";"8229"
"Larry de Kat";"Soundcloud";"1";"8230"
"Photay";"1st";"2";"5765"
"Bill Withers";"SoundCloud";"1";"8231"
"Golden Teacher";"Bells from the Deep End";"1";"8232"
"Maxwell Owin";"Fruits And Flowers";"16";"848"
"Maribou State";"Tracks";"1";"8233"
"A Macaca";"Tracks";"1";"8234"
"Four Tet";"Essential Mix 2018";"1";"8235"
"DJ Koze";"Music for the Motion Picture Victoria (Bonus Track Version)";"3";"4459"
"DJ Koze";"Driven / X-mop 198";"1";"8236"
"Robag Wruhme";"Driven / X-mop 198";"1";"8237"
"Cornelius";"Erased Tapes Collection IX";"7";"2173"
"Daniel Avery";"Clear";"1";"8238"
"Clever Austin";"Drum Suite";"1";"8239"
"Richard Spaven";"Drum Suite";"1";"8240"
"Mast";"Thelonious Sphere Monk";"54";"170"
"Sean Khan";"Palmares Fantasy";"2";"5766"
"Awkwafina";"NYC Bitche$";"2";"5767"
"Sons of Kemet";"Your Queen Is a Reptile";"3";"4460"
"Four Tet";"New Energy";"25";"451"
"Bontan";"The First Time";"1";"8241"
"La Yegros";"Magnetismo (Deluxe Edition)";"1";"8242"
"Traumprinz";"Mothercave";"9";"1709"
"Traumprinz";"All The Things";"4";"3599"
"El Búho";"#Tracks";"8";"1912"
"A Macaca";"#Tracks";"10";"1528"
"Totally Enormous Extinct Dinosaurs";"Trouble";"6";"2514"
"Amber Mark";"3:33am";"9";"1710"
"Principles of Geometry";"Lazare";"3";"4461"
"Midnight Sister";"Saturn Over Sunset";"7";"2174"
"John Talabot";"Fin";"64";"128"
"Avalon Emerson";"Whities 013";"1";"8243"
"Fiium Shaarrk";"We Are Astonishingly Lifelike";"4";"3600"
"Toshio Matsuura Group";"L.M. II";"2";"5768"
"Toshio Matsuura Group";"LOVEPLAYDANCE - 8 Scenes from The Floor";"42";"238"
"Jessica Lauren";"Kofi Nomad";"4";"3601"
"Grupo X";"Something Going On";"1";"8244"
"Kerala Dust";"Maria";"1";"8245"
"Daniel Avery";"Song For Alpha";"14";"1014"
"Unknown Mortal Orchestra";"Sex & Food";"23";"515"
"Alma Negra";"Endless summer EP";"7";"2175"
"Rampa";"Muyè (Black Coffee Remix)";"2";"5769"
"Seb Wildblood";"The One With (The Remixes)";"2";"5770"
"Project Pablo";"There’s Always More At The Store";"2";"5771"
"Joe Armon-Jones";"Almost Went Too Far";"1";"8246"
"Rodrigo Gallardo";"Minero";"14";"1015"
"Ryley Walker";"Opposite Middle";"2";"5772"
"Her";"HER";"15";"927"
"Boards of Canada";"Music Has the Right to Children";"25";"452"
"Kelly Lee Owens";"More Than A Woman";"12";"1240"
"Kelly Lee Owens";"1 of 3";"2";"5773"
"Kaitlyn Aurelia Smith";"An Intention (Cumulonimbus Remix by Joe Goddard)";"2";"5774"
"Kaitlyn Aurelia Smith";"Euclid";"3";"4462"
"Prince of Denmark";"The Body";"4";"3602"
"Majik";"Say Hi To Northern Soul";"3";"4463"
"C.O.W. 牛";"C.O.W. 牛 EP";"3";"4464"
"Christopher Schwarzwälder";"Leaves";"21";"575"
"Ross From Friends";"Aphelion EP";"1";"8247"
"Ólafur Arnalds";"re:member";"18";"729"
"Marenn Sukie";"Into The Silence";"2";"5775"
"Marenn Sukie";"Malinal - EP";"7";"2176"
"Glenn Astro";"Oha!";"2";"5776"
"DJ Katapila";"Aroo";"2";"5777"
"Earthboogie";"Silken Moon";"4";"3603"
"Coss";"Ma Ato";"1";"8248"
"Bennis Cletin";"Jungle Magic";"1";"8249"
"mugwisa international xylophone group";"Santuri's Embaire Umeme";"6";"2515"
"Rang'ala";"New Recordings From Siaya County, Kenya";"2";"5778"
"Francis Bebey";"Psychedelic Sanza";"4";"3604"
"Christy Essien";"Soul Jazz Records Presents Nigeria Soul Fever: Afro Funk, Disco and Boogie: West African Disco Mayhem!";"1";"8250"
"Aby Ngana Diop";"Aby Ngana Diop Remixes";"3";"4465"
"Ali Nuur";"Sweet As Broken Dates: Lost Somali Tapes from the Horn of Africa";"2";"5779"
"mugwisa international xylophone group";"Santuri Embaire Umeme";"2";"5780"
"Maisha";"We Out Here";"2";"5781"
"Ezra Collective";"We Out Here";"3";"4466"
"Moses Boyd";"We Out Here";"1";"8251"
"Theon Cross";"We Out Here";"2";"5782"
"Everything Is Recorded";"Close But Not Quite";"1";"8252"
"Cortex";"Troupeau Bleu";"3";"4467"
"Oceanvs Orientalis";"Untold / Unknown";"15";"928"
"Lutto Lento";"Dark Secret World";"7";"2177"
"Nicola Cruz";"Prender El Alma";"11";"1364"
"Gábor Szabó";"Dreams";"76";"91"
"Ali Kuru";"Egzotik";"2";"5783"
"Shaluza Max";"Mangase / Hafi Deo";"6";"2516"
"Leon Vynehall";"Envelopes";"6";"2517"
"Rival Consoles";"Dreamer's Wake";"1";"8253"
"DJ Koze";"Pick Up";"3";"4468"
"Yaeji";"EP2";"2";"5784"
"Bawrut";"Ciquita";"4";"3605"
"Midland";"Autonomous Africa Volume 2";"5";"2969"
"Mr. Fingers";"Outer Acid EP";"1";"8254"
"JD Twitch";"Autonomous Africa Volume 2";"1";"8255"
"Melé";"Sunshowers EP";"6";"2518"
"Tale of Us";"Another Earth";"3";"4469"
"Yotam Avni";"Collective Endeavours 01.1";"3";"4470"
"Mr. T.C.";"Soundtrack for Strangers";"1";"8256"
"Massimo Vanoni";"The Funk Philosophy EP";"1";"8257"
"Baaba Maal";"Fulani Rock (Remixes)";"1";"8258"
"Mr Raoul K";"Still Living In Slavery";"1";"8259"
"Khidja";"Impossible Holiday";"1";"8260"
"Hey Mother Death";"Deranged Remixes";"1";"8261"
"Mark Knight";"Live Stream";"6";"2519"
"Jonwayne";"Rap Album One";"42";"239"
"Rival Consoles";"Persona";"39";"266"
"The Emperor Machine";"2500 VOL. 2";"2";"5785"
"Bob Sinclar";"Paradise";"2";"5786"
"Trikk";"Several";"1";"8262"
"Sudan Archives";"Nont For Sale";"6";"2520"
"Mind Enterprises";"Idealist";"2";"5787"
"Cerrone";"Afro";"3";"4471"
"Nicole Willis";"Still Got a Way to Fall";"2";"5788"
"Shuggie Otis";"Inspiration Information/ Wings Of Love";"2";"5789"
"Norma Tanega";"Walkin' My Cat Named Dog";"1";"8263"
"Chelou";"Halfway to Nowhere";"4";"3606"
"Bepu N'Gali";"I Travel To You";"1";"8264"
"Mocky";"KEY CHANGE";"13";"1119"
"Tune-Yards";"w h o k i l l";"1";"8265"
"thomas meinecke";"Work";"8";"1913"
"Tenesha The Wordsmith";"Dangerous Women";"27";"414"
"Andréa Daltro";"Outro Tempo";"5";"2970"
