Name;Tracks;Scrobbles;Rank
"Max Cooper";"38";"74";"171"
"Leonor";"3";"4";"2890"
"Teedra Moses";"1";"3";"3414"
"Carl Craig";"3";"5";"2506"
"Girls of the Internet";"22";"63";"208"
"Circle Sky";"1";"2";"4188"
"Lauhaus";"1";"5";"2507"
"Blindsmyth";"1";"7";"1973"
"Nick Hakim";"9";"20";"725"
"kaleema";"3";"15";"982"
"GuissGuissBouBess";"2";"2";"4189"
"Fresh Air from WHYY";"1";"1";"5615"
"The Sorcerers";"15";"36";"387"
"king garbage";"6";"12";"1232"
"Robert Glasper Experiment";"2";"4";"2891"
"Melo-Zed";"8";"10";"1484"
"Apiento & Co";"1";"4";"2892"
"Ariel Pink";"2";"3";"3415"
"Ashra";"3";"89";"137"
"Heerlens Percussie Ensemble";"1";"6";"2241"
"Massimo Luca";"1";"3";"3416"
"Barbatuques";"2";"11";"1344"
"Stijn Sadée";"3";"5";"2508"
"Ezra";"1";"4";"2893"
"808 State";"1";"1";"5616"
"Camp Inc.";"1";"2";"4190"
"Tom Trago";"1";"1";"5617"
"Young Marco";"10";"30";"460"
"Mariam the Believer";"17";"57";"244"
"Metamatics";"2";"3";"3417"
"Switchdance";"1";"1";"5618"
"Kutcorners";"1";"7";"1974"
"Art In Motion";"2";"2";"4191"
"Theo Croker";"8";"8";"1773"
"FKJ";"5";"11";"1345"
"Mytron & Ofofo";"17";"31";"443"
"Moonlight Benjamin";"1";"1";"5619"
"Retiree";"12";"50";"283"
"Corina Lawrence";"2";"15";"983"
"Daniel Bortz";"2";"3";"3418"
"Alfa Mist";"53";"157";"56"
"tokayo";"6";"11";"1346"
"Lorenzo Dada";"1";"3";"3419"
"Liv.e";"15";"32";"432"
"Baba Sissoko";"1";"1";"5620"
"The Yorkshire Film and Television Orchestra";"1";"1";"5621"
"Al Dobson Jr.";"19";"50";"284"
"Company Flow";"3";"3";"3420"
"LAPS";"1";"1";"5622"
"Jazzanova";"7";"16";"928"
"Dirty Doering";"1";"1";"5623"
"Fernando Milagros";"1";"1";"5624"
"Luca D'Alberto";"1";"3";"3421"
"Tuff City Kids";"1";"2";"4192"
"Neurostate";"1";"1";"5625"
"Parra for Cuva";"2";"11";"1347"
"Palace";"1";"2";"4193"
"Ammer";"1";"1";"5626"
"Nubiyan Twist";"26";"93";"127"
"Ian Simmonds";"3";"3";"3422"
"SMAGGHE & CROSS";"5";"11";"1348"
"Von Spar";"2";"2";"4194"
"Yougene";"1";"1";"5627"
"Kondi Band";"2";"5";"2509"
"San Miguel";"1";"1";"5628"
"Andy Jenkins";"2";"6";"2242"
"Stimming";"13";"16";"929"
"Ghost-Note";"10";"19";"766"
"Ocelote Rojo";"1";"2";"4195"
"Huaira";"5";"24";"583"
"BEATBALL MUSIC";"2";"3";"3423"
"Blood Wine or Honey";"10";"13";"1132"
"Matty";"9";"9";"1608"
"Wen";"7";"9";"1609"
"Spaceslug";"1";"1";"5629"
"Jun Kamoda";"2";"2";"4196"
"Sonnymoon";"2";"11";"1349"
"The Natural Yogurt Band";"8";"30";"461"
"Rodrigo Tavares";"1";"1";"5630"
"Kermesse";"12";"20";"726"
"Pouvoir Magique";"1";"1";"5631"
"Fela Kuti";"6";"11";"1350"
"Shlohmo";"16";"34";"410"
"Yussef Kamaal";"3";"4";"2894"
"Johnson, Hawkins, Tatum & Durr";"1";"2";"4197"
"Joni Mitchell";"2";"2";"4198"
"Erykah Badu";"1";"1";"5632"
"Mr Beatnick";"4";"7";"1975"
"Chemise";"2";"5";"2510"
"Nicolas Jaar";"25";"41";"340"
"Mammal Hands";"23";"56";"249"
"Gwilym Gold";"1";"1";"5633"
"King Gizzard & The Lizard Wizard";"8";"11";"1351"
"Percussions";"3";"3";"3424"
"Ponty Mython";"2";"3";"3425"
"Mitski";"32";"99";"113"
"Fantasma";"1";"1";"5634"
"Pilgrims of the Mind";"2";"7";"1976"
"Sivan Perwer";"1";"1";"5635"
"Athena";"1";"1";"5636"
"Doctr";"2";"2";"4199"
"Loidis";"4";"25";"558"
"디구루(dguru)";"1";"2";"4200"
"서울 콤보 (feat. 하세가와 요오헤이, 차승우)";"1";"1";"5637"
"원피스(1Piece)";"1";"2";"4201"
"Ballaké Sissoko & Vincent Segal";"7";"7";"1977"
"Attwenger";"2";"3";"3426"
"Playboi Carti";"1";"1";"5638"
"Conjunto Costumbrista";"1";"1";"5639"
"David Bowie";"7";"8";"1774"
"Queen";"3";"4";"2895"
"God Colony";"1";"7";"1978"
"Academy Garden";"4";"4";"2896"
"David Dor";"1";"1";"5640"
"AHARON AMRAM";"1";"1";"5641"
